Name,Definition / Description,Notable Characteristics,Strengths,Weaknesses (Avoid),Compatible Archetypes,Compatible Media
Bold Colors,"Saturated, high-contrast palette that commands instant attention (zekagraphic.com)","Electric hues, large type, simple shapes",• Stop-scroll power • Strong recall • Works in small creatives,• Visual fatigue • Off-brand risk • Overwhelms dense info,"Limited-Time Offer, Product Demo, Testimonial","Single Image, Carousel, Short-Form Video"
Minimalist,Strips visuals to the bare essentials for maximum clarity (venngage.com),"Wide whitespace, 1-2 colors, clean fonts",• Premium feel • Fast comprehension • Focus on message,• Can look empty • Relies on copy • Less emotive,"Thought Leadership, Data-Insight, Lead Magnet","Single Image, Document Ad, Conversation Ad"
Authentic UGC,"Raw, user-generated look that boosts relatability and trust (theshelf.com)","Handheld angles, emojis, casual tone",• High trust • Low cost • Social proof,• Quality varies • Hard to script • Brand clash risk,"Testimonial, Limited-Time Offer, Case Study","Short-Form Video, Single Image, Conversation Ad"
Illustration-Led,Custom illustrations simplify abstract ideas in a playful way (lummi.ai),"Flat/3-D vectors, icon sets",• Memorable • Explains intangibles • Stands out,• Time-intensive • Risk childish look • Less serious,"Thought Leadership, Checklist, Carousel Story","Carousel, Document Ad, Single Image"
Cinematic,High-definition visuals with dramatic framing and motion graphics (designshack.net),"DoF shots, smooth transitions",• Premium perception • Emotional impact • Great for demos,• High cost • Needs subtitles • Large files,"Product Demo, Founder Story, Case Study",Short-Form Video
Infographic,Data visualised with charts and icons for quick scanning (venngage.com),"Grid layout, icons, chart elements",• Credibility • Shareable • Educational,• Info overload • Needs fresh data • Wide files hurt mobile,"Data-Insight, Case Study, Checklist","Document Ad, Carousel, Single Image"
Glassmorphism,Frosted-glass blur layers add depth and modern sheen (designstudiouiux.com),"Translucent panels, blur, neon backdrops",• Premium look • Depth without clutter • Highlights CTAs,• GPU heavy • Trend fatigue • Low contrast risk,"Product Demo, Lead Magnet, Event Invite","Single Image, Carousel"
3D / CGI,Photoreal or stylised 3-D renders create immersive scenes (comintedlabs.io),"Depth, dramatic lighting, dynamic angles",• High wow factor • Explains complex products • Future-oriented,• Expensive • Longer render times • Can feel artificial,"Product Demo, Trend-Jacking, Founder Story","Short-Form Video, Carousel, Single Image"
Gradient Overlay,Smooth multicolor blends add energy and depth to designs (kittl.com),"Angular/radial fades, vibrant blends",• Modern vibe • Guides eye • Easy brand tie-in,• Muddy text risk • Dates quickly • Needs contrast checks,"Event Invite, Thought Leadership, Pain-Point→Solution","Single Image, Carousel, Short-Form Video"
Duotone,Visuals limited to two bold hues for striking contrast (99designs.com),"Monochrome photos, overlay tints",• Strong identity • Low file size • High legibility,• Limited palette • Risk flatness • Needs colour harmony,"Testimonial, Competitive Comparison, Retro","Single Image, Document Ad"
Dark Mode,Light text and accents on dark backgrounds for eye comfort (bluecompass.com),"Charcoal base, neon accents",• Stands out in feed • Feels techy • Saves OLED power,• Can hide shadows • Colour shift issues • Not print-friendly,"Data-Insight, Product Demo, Limited-Time Offer","Single Image, Carousel, Short-Form Video"
Retro / Vintage,Nostalgic visuals evoke past decades and warm memories (veranda.com),"Grain textures, warm tones, classic fonts",• Emotional hook • Differentiates • Trend-cycle friendly,• Can feel dated • May alienate • Needs authenticity,"Founder Story, Trend-Jacking, Event Invite","Single Image, Carousel, Short-Form Video"
Motion Graphics,Animated typography and icons convey info rapidly (designshack.net),"Kinetic text, looping elements",• High engagement • Explains fast • Retargetable viewers,• Needs captions • Complex production • Distraction risk,"Product Demo, Checklist, Case Study",Short-Form Video
Isometric,30° pseudo-3D angle shows systems and workflows clearly (designshack.net),"Consistent axes, layered scenes",• Clarifies systems • Professional look • Space-efficient,• Repetitive if overused • Needs precision • Hard small-scale,"Product Demo, Data-Insight, Competitive Comparison","Carousel, Document Ad, Single Image"
Hand-Drawn Sketch,Loose pen-or-brush illustrations feel personal and human (lummi.ai),"Imperfect lines, textured strokes",• Approachable • Signals creativity • Quick proto-style,• Can seem amateur • Less scalable • Colour matching issues,"Thought Leadership, Founder Story, Checklist","Carousel, Single Image, Document Ad"
